"FIPS","State","County","PCT_NHWHITE10","PCT_NHBLACK10","PCT_HISP10","PCT_NHASIAN10","PCT_NHNA10","PCT_NHPI10","PCT_65OLDER10","PCT_18YOUNGER10","MEDHHINC15","POVRATE15","PERPOV10","CHILDPOVRATE15","PERCHLDPOV10","METRO13","POPLOSS10"
"18091","IN","LaPorte","81.36488826289396","10.61749217257125","5.466191787703984","0.5113621071707322","0.2206931199368423","0.01166264454950793","14.23470623592633","22.77086491966232","47401","15.7","0","24.7","0","1","0"
"18093","IN","Lawrence","96.59253478995969","0.3923353708761434","1.181341310096675","0.4855421164434039","0.3208046126501062","0.01950838860710105","16.39138162743313","23.56613343737807","46890","13.9","0","21","0","0","0"
"18095","IN","Madison","86.28110851134949","8.270533896502478","3.182260171989425","0.4155398219332098","0.1921966635266948","0.03114649487982011","15.37117505849464","23.0856300708013","45065","16.7","0","25.2","0","1","0"
"18097","IN","Marion","59.54274606954005","26.3953783126502","9.349862130877701","2.005660880701976","0.2162956764110415","0.03686103390218875","10.63789513533977","25.07269815019598","41407","20.6","0","31","0","1","0"
"18099","IN","Marshall","89.47312490701579","0.4165692546385836","8.439778113111304","0.4463242013984824","0.1700282671994219","0.004250706679985547","14.67343945931011","26.88359439756859","49714","10.6","0","15","0","0","0"
"18101","IN","Martin","97.97754983549449","0.09676795045480936","0.6773756531836655","0.2806270563189472","0.2515966711825043","0","15.72479194890652","24.0081285078382","47717","13.8","0","19.5","0","0","0"
"18103","IN","Miami","90.25553478037016","4.468471397989323","2.455084952442891","0.3468552692193047","0.8373302983497276","0.02167845432620654","13.95008535891391","22.74340839498144","46968","14.8","0","22.6","0","0","0"
"18105","IN","Monroe","86.12999550639977","3.162189977821908","2.920115384057866","5.211126734022351","0.2087349790540247","0.04058735703828257","10.18090364851349","16.28640178584371","45341","23.5","0","18.2","0","1","0"
"18107","IN","Montgomery","92.78669604448642","0.805267023397335","4.561431119504774","0.5482111006190327","0.1888574126534467","0.01573811772112056","15.54926030846711","23.97177630888679","49425","12.3","0","18.7","0","0","0"
"18109","IN","Morgan","96.93442099457137","0.2540134119081487","1.19023427294104","0.3498127558277934","0.2569164223299562","0.02757859900717044","12.94597497605016","25.15168229453943","58376","11.4","0","16.2","0","1","0"
"18111","IN","Newton","93.34456613310867","0.3720864925582701","5.033698399326032","0.2667789946644201","0.2316764953664701","0.01404099971918001","16.63858466722831","23.02021903959562","48316","12.2","0","17.6","0","1","0"
"18113","IN","Noble","88.57287108717603","0.357623695725345","9.607455402221474","0.3660383709188825","0.1893301918545944","0.01051834399192191","12.49789633120162","27.03214405923931","51876","9.800000000000001","0","14.2","0","0","0"
"18115","IN","Ohio","97.37271540469973","0.3426892950391645","1.125979112271541","0.3100522193211488","0.1795039164490862","0","16.62859007832898","21.21409921671018","53177","10.2","0","15.6","0","1","0"
